acc_mean_x_right,acc_mean_y_right,acc_mean_z_right,acc_mean_xyz_right,acc_mean_xy_right,acc_mean_yz_right,acc_mean_zx_right,acc_mean_pitch_right,acc_mean_roll_right,acc_std_x_right,acc_std_y_right,acc_std_z_right,acc_std_xyz_right,acc_std_xy_right,acc_std_yz_right,acc_std_zx_right,acc_std_pitch_right,acc_std_roll_right,acc_auc_x_right,acc_auc_y_right,acc_auc_z_right,acc_auc_xyz_right,acc_auc_xy_right,acc_auc_yz_right,acc_auc_zx_right,acc_auc_pitch_right,acc_auc_roll_right,acc_max_x_right,acc_max_y_right,acc_max_z_right,acc_max_xyz_right,acc_max_xy_right,acc_max_yz_right,acc_max_zx_right,acc_max_pitch_right,acc_max_roll_right,acc_peak_x_right,acc_peak_y_right,acc_peak_z_right,acc_peak_xyz_right,acc_peak_xy_right,acc_peak_yz_right,acc_peak_zx_right,gyro_mean_x_right,gyro_mean_y_right,gyro_mean_z_right,gyro_mean_xyz_right,gyro_mean_xy_right,gyro_mean_yz_right,gyro_mean_zx_right,gyro_std_x_right,gyro_std_y_right,gyro_std_z_right,gyro_std_xyz_right,gyro_std_xy_right,gyro_std_yz_right,gyro_std_zx_right,gyro_auc_x_right,gyro_auc_y_right,gyro_auc_z_right,gyro_auc_xyz_right,gyro_auc_xy_right,gyro_auc_yz_right,gyro_auc_zx_right,gyro_max_x_right,gyro_max_y_right,gyro_max_z_right,gyro_max_xyz_right,gyro_max_xy_right,gyro_max_yz_right,gyro_max_zx_right,gyro_peak_x_right,gyro_peak_y_right,gyro_peak_z_right,gyro_peak_xyz_right,gyro_peak_xy_right,gyro_peak_yz_right,gyro_peak_zx_right,acc_mean_x_left,acc_mean_y_left,acc_mean_z_left,acc_mean_xyz_left,acc_mean_xy_left,acc_mean_yz_left,acc_mean_zx_left,acc_mean_pitch_left,acc_mean_roll_left,acc_std_x_left,acc_std_y_left,acc_std_z_left,acc_std_xyz_left,acc_std_xy_left,acc_std_yz_left,acc_std_zx_left,acc_std_pitch_left,acc_std_roll_left,acc_auc_x_left,acc_auc_y_left,acc_auc_z_left,acc_auc_xyz_left,acc_auc_xy_left,acc_auc_yz_left,acc_auc_zx_left,acc_auc_pitch_left,acc_auc_roll_left,acc_max_x_left,acc_max_y_left,acc_max_z_left,acc_max_xyz_left,acc_max_xy_left,acc_max_yz_left,acc_max_zx_left,acc_max_pitch_left,acc_max_roll_left,acc_peak_x_left,acc_peak_y_left,acc_peak_z_left,acc_peak_xyz_left,acc_peak_xy_left,acc_peak_yz_left,acc_peak_zx_left,gyro_mean_x_left,gyro_mean_y_left,gyro_mean_z_left,gyro_mean_xyz_left,gyro_mean_xy_left,gyro_mean_yz_left,gyro_mean_zx_left,gyro_std_x_left,gyro_std_y_left,gyro_std_z_left,gyro_std_xyz_left,gyro_std_xy_left,gyro_std_yz_left,gyro_std_zx_left,gyro_auc_x_left,gyro_auc_y_left,gyro_auc_z_left,gyro_auc_xyz_left,gyro_auc_xy_left,gyro_auc_yz_left,gyro_auc_zx_left,gyro_max_x_left,gyro_max_y_left,gyro_max_z_left,gyro_max_xyz_left,gyro_max_xy_left,gyro_max_yz_left,gyro_max_zx_left,gyro_peak_x_left,gyro_peak_y_left,gyro_peak_z_left,gyro_peak_xyz_left,gyro_peak_xy_left,gyro_peak_yz_left,gyro_peak_zx_left,class
-0.88198,-0.45038,0.079692,1.3848,1.2479,0.93142,1.092,-37.196,-9.7404,0.37446,0.79965,0.63704,0.47309,0.42884,0.60412,0.35231,44.318,41.281,-27.016,-13.037,1.8711,41.666,37.635,27.735,32.998,-1154.3,-239.76,-0.12549,0.94043,1.3284,2.7353,2.425,2.4164,1.8459,60.994,64.118,9,5,7,8,8,6,9,-18.444,-6.9284,9.0206,115.13,104.36,73.292,84.997,103.22,73.859,36.151,63.829,71.758,35.94,69.728,-498.31,-89.207,249.38,2624.7,2370.2,1672.4,1946.9,162.29,130.18,83.887,265.74,265.71,149.32,259.41,4,7,6,6,6,7,4,0.85917,-0.16042,0.22067,1.2493,1.1218,0.65084,1.1341,68.621,5.4267,0.71266,0.55507,0.48158,0.48143,0.52586,0.39889,0.44174,30.579,30.252,10.454,-0.9745,2.4075,13.611,12.205,6.6383,12.772,799.23,95.952,1.774,0.413,0.78,1.9257,1.9226,1.7274,1.817,89.293,47.072,3,3,2,3,3,3,3,-36.669,46.895,-35.348,173.97,141.05,155.12,114.8,97.801,141.69,115.05,127.66,112.16,108.64,108.42,-837.59,1182.2,-880.27,4093.3,3314.3,3653.0,2696.7,88.963,374.27,99.146,466.28,414.35,390.2,408.23,4,4,3,6,6,6,4,2
0.7075,0.50448,0.54053,1.0329,0.87759,0.7484,0.89173,59.797,44.938,0.045396,0.13224,0.050098,0.04174,0.062173,0.07784,0.044935,6.6933,5.6871,18.394,13.106,14.061,26.861,22.818,19.465,23.189,1555.6,1168.0,0.79199,0.75415,0.62378,1.1384,0.99539,0.93487,0.97625,73.089,56.469,6,3,3,8,8,4,8,-3.3965,-3.6366,0.70694,25.831,24.779,14.235,22.158,24.389,17.583,7.9036,16.785,16.599,13.044,12.102,-50.838,-65.366,10.252,400.74,384.0,219.71,345.34,31.601,15.762,10.96,60.039,58.788,44.801,43.029,1,3,3,2,2,4,2,0.94575,-0.32055,-0.12978,1.0528,1.011,0.42097,0.98953,71.625,-14.093,0.12897,0.1548,0.28461,0.15727,0.12273,0.21416,0.16732,8.7554,16.002,36.92,-12.662,-4.5488,40.905,39.514,16.134,38.386,2784.5,-583.12,1.3013,-0.065674,0.36963,1.496,1.442,1.1724,1.4915,86.504,51.06,8,5,7,7,8,5,8,0.12413,1.434,-0.70231,19.494,17.67,16.474,10.676,9.9479,26.464,7.5876,21.223,21.571,21.643,5.8595,-17.63,-12.713,-9.5274,213.01,189.32,175.94,126.18,22.226,85.0,12.546,87.493,86.588,85.921,25.827,3,3,2,4,4,3,3,2
-0.17812,0.55683,0.8088,0.99809,0.5847,0.98203,0.82823,18.473,75.186,0.0087838,0.010407,0.0096085,0.0047851,0.0098152,0.0051087,0.0094563,1.0914,0.64095,-7.2869,22.837,33.156,40.919,23.975,40.264,33.949,758.74,3083.8,-0.16284,0.58252,0.83179,1.0084,0.60485,0.99429,0.84916,21.177,76.654,11,10,13,16,12,15,12,-1.9792,0.52896,-0.098577,3.1558,2.9441,2.1358,2.3159,1.1581,2.2224,1.1385,1.275,1.2866,1.3474,1.0729,-57.622,19.047,-2.5686,89.983,83.651,60.161,67.641,0.30488,4.5122,1.753,7.2725,7.2356,7.1109,4.8544,6,8,8,7,9,7,6,-0.10833,-0.11634,0.96784,0.98093,0.15954,0.97483,0.97397,-0.14309,-8.7192,0.01371,0.0079982,0.0051922,0.0052819,0.0078186,0.0054004,0.0052252,9.3904,10.442,-2.373,-2.5635,21.291,21.578,3.5059,21.445,21.425,3.3704,-199.8,-0.076904,-0.10278,0.97778,0.99332,0.17501,0.98618,0.98499,17.617,9.3455,7,7,7,8,8,8,7,-0.17107,0.24729,0.2185,1.005,0.89611,0.74959,0.74291,0.67981,0.80649,0.39319,0.58656,0.59838,0.57043,0.33748,-3.4527,4.4588,3.4604,17.294,15.693,12.801,12.622,0.88415,2.3018,1.0976,2.5786,2.5769,2.3036,1.4094,8,5,6,6,6,6,5,0
-0.24466,0.42156,0.80326,1.1631,0.76269,0.96436,1.0227,2.856,54.686,0.62835,0.37443,0.37089,0.43482,0.42553,0.40944,0.42638,63.065,28.413,-8.4148,15.161,28.146,40.665,26.618,33.92,35.625,106.09,1941.9,1.1587,1.2952,2.1194,2.7908,1.8156,2.3066,2.6382,73.126,89.535,9,7,9,9,7,9,8,-2.5329,24.442,-36.984,119.13,98.545,105.43,74.571,52.771,102.1,68.097,71.541,61.014,74.371,55.326,-25.221,595.52,-960.86,2863.3,2364.7,2559.5,1762.6,97.393,289.33,90.945,298.74,298.68,289.4,182.88,8,6,3,5,6,5,5,-0.23389,-0.73064,0.64635,1.1009,0.84751,1.0221,0.76677,2.3606,-49.659,0.35254,0.34414,0.32443,0.36741,0.32915,0.35687,0.33159,36.556,35.014,-6.5513,-20.465,18.273,31.019,23.815,28.768,21.694,72.337,-1369.2,0.7417,0.046387,1.3235,2.2201,1.7825,2.1963,1.3627,68.902,32.067,9,7,6,7,8,7,7,4.5716,82.976,-0.37043,107.49,104.99,93.36,38.985,46.387,96.486,18.141,81.392,82.99,87.203,28.556,81.372,671.41,-15.61,911.33,887.22,774.28,349.42,104.59,246.63,28.46,250.03,249.6,247.06,106.23,2,2,1,1,1,2,2,2
-0.45297,-0.87969,-0.034676,1.2363,1.1241,1.0274,0.77163,-18.208,-43.664,0.51032,0.31278,0.5343,0.27568,0.25218,0.3045,0.37812,30.431,29.524,-12.643,-25.0,-1.0917,35.036,31.875,29.158,21.753,-486.88,-1226.8,0.73535,-0.3042,0.63623,1.6773,1.5083,1.5542,1.4414,43.275,17.109,6,6,6,6,8,7,6,-63.366,23.746,28.484,186.27,181.6,156.86,95.358,88.59,179.05,33.715,102.3,101.36,94.649,67.327,-1470.4,568.69,635.79,4315.6,4220.0,3673.8,2145.9,75.107,326.69,112.01,389.79,388.51,328.2,212.62,4,3,1,4,4,4,4,-0.58117,0.60692,-0.31067,1.0267,0.91912,0.83256,0.71295,-40.578,42.598,0.13047,0.48927,0.35341,0.32718,0.32424,0.33946,0.24731,22.709,30.958,-6.4415,6.758,-3.287,11.277,10.243,9.0942,7.753,-444.61,454.45,-0.325,1.434,0.117,1.7142,1.6091,1.551,1.1367,-8.59,66.625,2,2,3,2,3,2,2,-16.113,-49.703,23.615,113.55,99.659,109.12,45.112,26.861,95.718,46.348,44.799,48.667,45.214,39.987,-380.09,-1168.8,591.59,2638.9,2309.5,2533.1,1055.7,18.293,149.45,126.1,198.99,198.19,194.78,135.38,4,4,3,4,4,3,6,2
-0.83697,-0.5843,0.22752,1.3427,1.2521,0.89087,0.98377,-42.316,-11.29,0.3948,0.89453,0.46314,0.66105,0.64202,0.77485,0.38395,44.035,40.499,-24.03,-15.247,6.6455,37.734,35.037,24.421,28.383,-1249.5,-274.98,0.3855,0.8894,1.7483,2.6537,2.6523,2.3721,2.0315,62.851,74.621,7,5,6,7,7,5,7,12.088,-27.953,-0.094004,122.26,120.08,81.578,83.525,114.91,93.474,23.306,88.623,88.665,56.138,81.36,404.07,-640.03,-39.055,2793.1,2746.2,1905.3,1878.3,271.8,239.95,52.5,363.23,362.56,240.95,272.68,4,6,4,7,7,7,5,0.89558,-0.314,0.26825,0.98734,0.94971,0.41346,0.93546,71.085,-15.607,0.043709,0.028515,0.024536,0.030088,0.03636,0.031312,0.03676,2.1281,2.0912,9.8615,-3.454,2.944,10.867,10.456,4.5441,10.297,782.11,-171.66,0.948,-0.281,0.312,1.0314,0.99709,0.46441,0.98407,73.532,-13.459,2,1,2,2,2,2,2,-0.72158,-2.0579,-1.8014,9.0166,7.8735,6.9167,6.6086,6.7277,6.8061,3.4472,5.1945,5.6445,4.0113,3.9372,-21.738,-45.915,-42.044,206.55,179.81,160.19,149.99,12.317,11.585,5.427,18.052,17.91,14.881,14.038,2,5,4,6,7,8,3,2
0.50932,0.53588,0.66145,1.1598,0.87368,0.94048,0.9594,52.612,50.991,0.42603,0.34524,0.40835,0.30639,0.27652,0.34729,0.34208,17.621,30.973,14.606,15.346,19.158,33.549,25.184,27.212,27.78,1523.1,1472.9,1.2905,1.0098,1.9424,2.0414,1.3978,2.035,1.9491,88.166,82.422,10,6,7,9,9,7,10,-20.596,13.872,-25.707,83.668,75.381,78.778,40.871,25.096,86.377,26.932,52.84,52.521,50.517,27.183,-401.04,272.01,-513.33,1638.4,1472.7,1542.9,806.31,15.29,182.65,52.195,191.12,183.85,189.96,87.03,5,4,4,4,5,4,5,0.50031,-0.55732,0.57476,1.0525,0.83141,0.8398,0.86454,51.165,-35.309,0.36341,0.30705,0.3059,0.31355,0.30482,0.3493,0.23432,25.501,24.635,20.832,-23.587,24.298,44.344,34.942,35.51,36.375,2132.0,-1501.9,1.4785,-0.064453,1.1829,1.8637,1.8294,1.6094,1.5207,84.865,26.638,11,8,8,9,9,9,9,-8.126,5.6555,-10.35,28.428,24.362,26.122,14.917,4.9597,33.272,7.2549,23.673,24.88,24.446,5.1136,-244.21,241.99,-312.36,778.97,657.9,710.35,438.06,5.7165,47.729,9.6951,135.13,134.79,135.01,22.252,7,9,4,8,9,9,7,2
-0.34823,0.34134,0.8735,1.0005,0.48774,0.93792,0.94038,-14.477,60.159,0.0074369,0.012509,0.0074754,0.0054836,0.0098539,0.0052117,0.0075708,2.0837,0.52599,-12.881,12.633,32.314,37.014,18.047,34.7,34.788,-535.02,2226.0,-0.33105,0.36987,0.8877,1.0099,0.50594,0.94704,0.95405,-9.8291,61.366,13,11,11,14,9,13,11,-0.9228,0.26459,-0.18892,1.2133,1.1173,0.69105,1.0429,0.52293,0.55087,0.43965,0.48617,0.48796,0.33335,0.50882,-24.55,6.7302,-5.0915,32.475,29.805,18.641,27.891,-0.030488,1.5549,0.51829,2.5081,2.4124,1.6995,2.0817,10,8,8,9,8,8,10,0.0085237,-0.12868,0.97782,0.98641,0.12942,0.98631,0.97792,45.446,-84.053,0.01143,0.010858,0.0046639,0.0037772,0.011176,0.0037891,0.0046383,2.4886,3.6607,0.17822,-2.818,21.517,21.705,2.8339,21.702,21.52,998.29,-1851.4,0.024658,-0.10864,0.98975,0.99569,0.15078,0.99569,0.98975,48.637,-78.128,7,8,8,8,7,8,8,-14.829,3.2355,0.40206,25.285,24.677,14.788,19.267,28.943,20.655,8.0949,29.897,29.335,16.439,27.24,-232.23,46.73,6.4634,397.08,387.4,231.49,303.17,15.64,32.652,12.027,90.927,88.424,56.836,86.448,4,4,3,2,2,4,4,0
-0.87624,-0.36694,0.26099,0.98522,0.94998,0.45036,0.91433,-66.68,-19.319,0.0057049,0.0039208,0.0087212,0.003868,0.0053633,0.0043823,0.0044929,0.27516,0.38242,-28.037,-11.74,8.3557,31.526,30.397,14.413,29.258,-2133.8,-618.06,-0.8667,-0.35791,0.27637,0.99239,0.96032,0.45938,0.92362,-66.249,-18.516,10,8,8,11,11,9,9,0.67927,0.55488,0.47866,1.3324,1.1271,1.0374,0.99402,0.5038,0.73063,0.56856,0.54933,0.51552,0.54348,0.51683,16.052,12.637,11.098,31.465,26.583,24.366,23.577,1.9512,1.9817,1.372,2.4028,1.9832,2.4016,2.2024,7,7,7,7,7,8,7,0.59683,-0.77658,-0.11458,1.1187,1.0589,0.87112,0.6962,41.433,-47.987,0.32552,0.35336,0.35347,0.22633,0.23256,0.30693,0.32413,23.34,27.557,6.4315,-8.779,-1.3305,12.338,11.725,9.7229,7.472,443.26,-543.66,1.091,-0.26,0.54,1.6171,1.6069,1.4981,1.2043,75.545,-3.5263,2,1,4,3,3,3,3,-21.872,-45.544,-55.076,198.49,186.76,183.41,91.223,73.965,192.14,36.987,92.064,93.046,92.281,42.66,-501.71,-1088.3,-1275.5,4627.7,4357.0,4283.7,2108.1,115.24,305.37,20.671,332.26,323.74,323.65,154.23,3,5,4,4,4,4,4,2
0.082479,-0.72581,0.76161,1.5309,1.2071,1.4069,0.98066,9.2595,-27.489,0.62655,0.90094,0.55727,0.4922,0.49883,0.46876,0.56156,48.451,62.129,2.2941,-20.964,22.343,44.589,35.129,41.045,28.485,289.25,-804.76,1.4004,1.6372,2.0579,2.5616,2.0785,2.5553,2.1709,77.061,87.095,7,6,8,6,6,6,6,8.0405,-19.091,-9.9447,78.019,70.982,60.263,53.685,57.281,61.704,23.648,42.977,47.736,32.566,31.68,181.44,-480.64,-237.86,1778.4,1609.5,1369.7,1238.6,147.62,99.055,26.814,204.4,204.29,141.37,147.77,5,4,3,7,6,7,5,-0.1076,0.68507,0.70693,0.99745,0.70183,0.98557,0.7235,18.501,80.743,0.11375,0.045331,0.04084,0.037291,0.049954,0.035719,0.040343,9.5975,5.9234,-1.459,9.6385,9.9165,14.01,9.8707,13.845,10.148,264.84,1133.6,0.09,0.76,0.785,1.0587,0.78126,1.0518,0.79219,34.337,89.155,3,4,5,5,4,5,5,3.3695,3.3378,3.2317,16.592,14.675,14.683,8.7373,6.6383,15.616,5.3355,8.0452,9.3621,8.4183,3.9869,90.886,87.468,82.837,436.46,389.44,385.1,227.57,15.671,34.268,13.11,34.731,34.686,34.314,16.065,6,6,6,6,6,7,8,2
