epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.096,1.24949,4.20992,1.50961,0.19617,0.14796,0.06612,0.04577,1.11107,3.87989,1.37848,3.845e-05,3.845e-05,3.845e-05
2,200.535,1.28339,3.38622,1.49323,0.90504,0.04592,0.07201,0.04998,1.11911,11.3661,1.28268,8.40317e-05,8.40317e-05,8.40317e-05
3,299.589,1.16291,2.61753,1.41514,0.33982,0.23639,0.10959,0.07813,1.32067,6.50211,1.55563,0.000129004,0.000129004,0.000129004
4,395.339,1.12917,2.19846,1.35376,0.80546,0.13095,0.14555,0.07583,1.47438,4.05736,1.8914,0.000173368,0.000173368,0.000173368
5,488.028,1.21249,2.11899,1.42384,0.62185,0.12585,0.14532,0.09667,1.54786,5.07386,2.12598,0.000217123,0.000217123,0.000217123
6,583.746,1.20162,1.93719,1.41333,0.5148,0.23129,0.15033,0.08218,1.62607,3.92501,2.22309,0.000260268,0.000260268,0.000260268
7,669.815,1.24135,1.88535,1.46294,0.35965,0.16293,0.08214,0.04101,1.88566,4.30444,2.46164,0.000302805,0.000302805,0.000302805
8,761.289,1.32782,1.91825,1.44152,0.01731,0.30272,0.02019,0.00992,2.43882,40.7328,3.57524,0.000344732,0.000344732,0.000344732
9,848.129,1.30571,1.90562,1.48463,0.008,0.12245,0.00409,0.00123,2.75658,inf,4.08214,0.00038605,0.00038605,0.00038605
10,937.917,1.20468,1.7456,1.42079,0.22232,0.07993,0.07523,0.03608,2.08912,14.496,3.0378,0.00042676,0.00042676,0.00042676
11,1027.54,1.14368,1.6256,1.33595,0.56787,0.14796,0.10237,0.03868,2.16849,5.24911,3.11107,0.00046686,0.00046686,0.00046686
12,1117.88,1.2561,1.73313,1.43231,0.60762,0.07653,0.04484,0.03307,2.11232,5.44288,3.00524,0.000506351,0.000506351,0.000506351
13,1203.04,1.23425,1.70913,1.42994,0.42831,0.07993,0.04744,0.01514,2.54065,4.44597,2.96342,0.000545233,0.000545233,0.000545233
14,1292.27,1.17771,1.61789,1.37941,0.0544,0.08333,0.04657,0.01471,2.6289,4.72951,3.11926,0.000583506,0.000583506,0.000583506
15,1380.07,1.25347,1.74038,1.46199,0.04858,0.11395,0.02125,0.00939,2.37878,12.6923,3.55691,0.000621171,0.000621171,0.000621171
16,1470.82,1.27129,1.70023,1.44906,0.18341,0.11735,0.03149,0.01194,2.22009,10.3345,3.41889,0.000658226,0.000658226,0.000658226
17,1558.31,1.24848,1.75932,1.45614,0.30158,0.05612,0.01288,0.00453,2.06926,17.3924,2.84046,0.000687794,0.000687794,0.000687794
18,1647.57,1.25698,1.6781,1.45546,0.03586,0.09864,0.02711,0.00921,2.59766,17.1598,4.6468,0.000682718,0.000682718,0.000682718
19,1735.29,1.25135,1.6321,1.46369,0.0785,0.29864,0.07161,0.02947,2.45811,11.4357,3.93676,0.000677643,0.000677643,0.000677643
20,1825.54,1.30346,1.6844,1.54394,0.3335,0.16327,0.04776,0.01872,2.28846,12.9194,3.39349,0.000672567,0.000672567,0.000672567
21,1914.17,1.2334,1.56708,1.44473,0.21209,0.09694,0.07495,0.03953,2.20399,6.6462,2.78968,0.000667492,0.000667492,0.000667492
22,2003.12,1.29787,1.63047,1.49291,0.5187,0.07993,0.0564,0.03848,2.09575,19.3203,3.05931,0.000662417,0.000662417,0.000662417
23,2090.54,1.23493,1.47502,1.41336,0.21417,0.06778,0.05911,0.03744,2.09435,14.7504,3.37444,0.000657341,0.000657341,0.000657341
24,2179.37,1.12848,1.43672,1.3569,0.52017,0.05952,0.04702,0.02775,1.99392,11.5954,2.96314,0.000652266,0.000652266,0.000652266
25,2264.8,1.19284,1.50997,1.4174,0.01701,0.06973,0.0151,0.00731,2.13338,10.6748,3.46465,0.00064719,0.00064719,0.00064719
26,2354.15,1.13547,1.40503,1.36453,0.07097,0.09864,0.05057,0.02537,1.91707,10.9448,3.0418,0.000642115,0.000642115,0.000642115
27,2443.9,1.12115,1.32298,1.31595,0.05143,0.13946,0.0545,0.02964,1.6536,6.54641,2.48483,0.00063704,0.00063704,0.00063704
28,2534.31,1.15255,1.3448,1.38403,0.07961,0.15578,0.06508,0.0249,1.95212,6.35996,2.6572,0.000631964,0.000631964,0.000631964
29,2622.13,1.15536,1.31871,1.36898,0.11305,0.15115,0.0887,0.04474,1.77615,5.97284,2.55102,0.000626889,0.000626889,0.000626889
30,2712.03,1.07046,1.22986,1.30245,0.64254,0.10034,0.10586,0.05107,2.02438,5.12677,2.98768,0.000621813,0.000621813,0.000621813
31,2799.77,1.10007,1.27667,1.3468,0.57831,0.15646,0.14395,0.08147,1.9705,3.75148,2.93913,0.000616738,0.000616738,0.000616738
32,2890.77,1.09779,1.34258,1.35408,0.28007,0.20748,0.15008,0.08465,1.81914,4.80335,2.73939,0.000611663,0.000611663,0.000611663
33,2976.75,1.10668,1.27789,1.37902,0.50061,0.17952,0.18217,0.10457,1.9179,4.36307,2.8337,0.000606587,0.000606587,0.000606587
34,3067.31,1.06676,1.2693,1.33277,0.5465,0.09014,0.1107,0.0624,1.89348,6.18689,2.50099,0.000601512,0.000601512,0.000601512
35,3154.67,1.05938,1.20774,1.33659,0.25572,0.18105,0.12098,0.05388,1.79268,4.51493,2.43263,0.000596436,0.000596436,0.000596436
36,3245.45,1.02692,1.14197,1.29614,0.3015,0.27474,0.1388,0.09121,1.94917,4.63574,2.72379,0.000591361,0.000591361,0.000591361
37,3331.89,0.97996,1.12072,1.28598,0.5041,0.16327,0.1758,0.1205,1.75523,4.16179,2.36215,0.000586286,0.000586286,0.000586286
38,3423.36,1.04391,1.14531,1.31759,0.54768,0.19694,0.20814,0.139,1.7279,4.14045,2.39247,0.00058121,0.00058121,0.00058121
39,3512.51,1.01228,1.08413,1.29649,0.73697,0.14048,0.18525,0.1157,1.64659,4.06152,2.2709,0.000576135,0.000576135,0.000576135
40,3601.82,0.99499,1.064,1.2907,0.4313,0.13095,0.09936,0.06661,1.67544,4.42087,2.23515,0.000571059,0.000571059,0.000571059
41,3689.24,0.98677,1.06658,1.27271,0.22102,0.13349,0.1238,0.07905,1.66888,4.0621,2.28782,0.000565984,0.000565984,0.000565984
42,3779.2,0.96431,0.98766,1.26247,0.26856,0.19221,0.19045,0.1179,1.66544,3.65584,2.30998,0.000560909,0.000560909,0.000560909
43,3865.37,0.95047,0.95824,1.23531,0.18747,0.28772,0.16967,0.10537,1.62849,3.2214,2.1478,0.000555833,0.000555833,0.000555833
44,3954.92,0.95025,1.0009,1.25507,0.467,0.19584,0.14774,0.08431,1.91237,3.07846,2.43369,0.000550758,0.000550758,0.000550758
45,4041.43,0.93705,0.98084,1.20449,0.5505,0.27738,0.27805,0.18193,1.58794,2.44327,2.05969,0.000545682,0.000545682,0.000545682
46,4133.14,0.93333,0.94984,1.20665,0.53628,0.20408,0.22518,0.11177,1.74213,2.93608,2.23417,0.000540607,0.000540607,0.000540607
47,4218.83,0.9214,0.96708,1.21405,0.28264,0.20181,0.1361,0.07945,1.63535,4.0156,2.10156,0.000535532,0.000535532,0.000535532
48,4308.53,0.90883,0.9081,1.2223,0.69038,0.12245,0.10674,0.06465,1.71822,3.24366,2.038,0.000530456,0.000530456,0.000530456
49,4395.67,0.89413,0.93644,1.21582,0.18536,0.28061,0.16771,0.09116,1.90888,3.20597,2.34257,0.000525381,0.000525381,0.000525381
50,4485.07,0.90679,0.94378,1.20149,0.68873,0.26361,0.26704,0.13562,1.83456,2.6319,2.40346,0.000520305,0.000520305,0.000520305
51,4570.29,0.88991,0.94091,1.20051,0.20697,0.21434,0.18719,0.11024,1.6156,2.81611,2.17401,0.00051523,0.00051523,0.00051523
52,4659.87,0.89857,0.89978,1.18877,0.70622,0.1462,0.16252,0.1007,1.70232,2.94574,2.25822,0.000510155,0.000510155,0.000510155
53,4746.49,0.84836,0.85675,1.16511,0.38721,0.2585,0.25845,0.17546,1.61002,2.88283,2.05862,0.000505079,0.000505079,0.000505079
54,4835.94,0.88165,0.87396,1.17735,0.37738,0.30224,0.26442,0.18228,1.76249,2.74554,2.28372,0.000500004,0.000500004,0.000500004
55,4923.24,0.90046,0.89733,1.21456,0.23419,0.25889,0.21895,0.14492,1.56016,2.87768,1.98555,0.000494928,0.000494928,0.000494928
56,5011.94,0.84693,0.86388,1.18861,0.25162,0.27211,0.20636,0.11752,1.65742,2.83067,2.16676,0.000489853,0.000489853,0.000489853
57,5098.24,0.85201,0.80701,1.16736,0.45073,0.23299,0.224,0.13901,1.57835,2.67704,2.06561,0.000484778,0.000484778,0.000484778
58,5186.66,0.85199,0.80011,1.18061,0.27728,0.21259,0.19568,0.11931,1.71037,3.10548,2.22948,0.000479702,0.000479702,0.000479702
59,5273.27,0.83964,0.79811,1.15457,0.54881,0.17599,0.22422,0.14522,1.82044,3.13054,2.38275,0.000474627,0.000474627,0.000474627
60,5361.83,0.80727,0.78067,1.12363,0.18282,0.29627,0.18995,0.12455,1.8615,3.14493,2.49854,0.000469551,0.000469551,0.000469551
61,5448.55,0.79799,0.77567,1.13391,0.42598,0.30918,0.27809,0.15691,1.8092,3.04731,2.38007,0.000464476,0.000464476,0.000464476
62,5538.25,0.80004,0.75857,1.13231,0.40954,0.22286,0.23578,0.14067,1.73476,3.01521,2.19666,0.000459401,0.000459401,0.000459401
63,5625.39,0.76467,0.71787,1.11003,0.21919,0.21735,0.19555,0.12988,1.64911,2.49866,2.1753,0.000454325,0.000454325,0.000454325
64,5715.22,0.80091,0.76491,1.13801,0.16902,0.18141,0.15719,0.09405,1.77832,2.59817,2.26098,0.00044925,0.00044925,0.00044925
65,5801.01,0.78324,0.77072,1.13602,0.23846,0.22449,0.23943,0.16373,1.66923,2.51553,2.13172,0.000444174,0.000444174,0.000444174
66,5891.11,0.78954,0.73786,1.11532,0.31616,0.2909,0.23166,0.17243,1.58194,2.8087,2.15219,0.000439099,0.000439099,0.000439099
67,5975.59,0.77608,0.78332,1.1362,0.62897,0.20155,0.25712,0.19167,1.5367,2.82133,1.98512,0.000434024,0.000434024,0.000434024
68,6066.63,0.7717,0.7182,1.12548,0.26858,0.22109,0.25394,0.17177,1.46027,2.58112,1.89947,0.000428948,0.000428948,0.000428948
69,6153.76,0.75879,0.73839,1.12716,0.42498,0.16014,0.23963,0.15162,1.47566,2.49982,2.00101,0.000423873,0.000423873,0.000423873
70,6244.38,0.74503,0.68216,1.09483,0.51925,0.14688,0.18892,0.1069,1.52783,2.40168,2.03789,0.000418797,0.000418797,0.000418797
71,6334.78,0.72012,0.68591,1.09204,0.74389,0.17857,0.19984,0.11162,1.53398,2.50891,2.14437,0.000413722,0.000413722,0.000413722
72,6434.46,0.76477,0.70898,1.10124,0.15076,0.25377,0.2098,0.12373,1.66188,2.56006,2.24165,0.000408647,0.000408647,0.000408647
73,6526.29,0.73529,0.64815,1.07775,0.28494,0.2432,0.17481,0.11351,1.62721,2.63657,2.1967,0.000403571,0.000403571,0.000403571
74,6616.04,0.71314,0.67024,1.11084,0.11062,0.20436,0.15702,0.0859,1.73347,2.83056,2.23371,0.000398496,0.000398496,0.000398496
75,6705.72,0.7598,0.69755,1.10773,0.31383,0.15306,0.15418,0.10891,1.6286,2.84352,2.13596,0.00039342,0.00039342,0.00039342
76,6792.88,0.72187,0.63268,1.08457,0.3497,0.16196,0.18824,0.12969,1.64923,2.74066,2.12909,0.000388345,0.000388345,0.000388345
77,6882.92,0.70637,0.65674,1.08942,0.24,0.19354,0.20166,0.136,1.65995,2.49116,2.23258,0.00038327,0.00038327,0.00038327
78,6969.3,0.68161,0.6438,1.07451,0.22625,0.21701,0.20482,0.11254,1.76742,2.76747,2.21457,0.000378194,0.000378194,0.000378194
79,7059.1,0.6832,0.62006,1.08878,0.37725,0.28036,0.28596,0.19266,1.78678,2.51845,2.15755,0.000373119,0.000373119,0.000373119
80,7147.06,0.69945,0.6447,1.06052,0.57196,0.29217,0.3241,0.20695,1.47837,2.4562,1.95581,0.000368043,0.000368043,0.000368043
81,7239.26,0.68714,0.64419,1.09132,0.34863,0.26497,0.30453,0.18676,1.54916,2.5998,2.00999,0.000362968,0.000362968,0.000362968
82,7327.42,0.69947,0.62095,1.07529,0.46799,0.25136,0.32434,0.22205,1.60365,2.43061,2.24212,0.000357893,0.000357893,0.000357893
83,7416.93,0.7021,0.64345,1.08521,0.26603,0.31553,0.23797,0.15021,1.66892,2.7655,2.36158,0.000352817,0.000352817,0.000352817
84,7504.07,0.68104,0.61166,1.0885,0.72664,0.24387,0.30628,0.2026,1.60993,2.72503,2.25209,0.000347742,0.000347742,0.000347742
85,7592.7,0.67679,0.60519,1.05098,0.53002,0.23766,0.25103,0.15725,1.52069,2.49556,2.15513,0.000342666,0.000342666,0.000342666
86,7678.79,0.66677,0.60248,1.04845,0.50547,0.32334,0.28309,0.14606,1.58085,2.44941,2.17061,0.000337591,0.000337591,0.000337591
87,7767.5,0.63979,0.55506,1.03872,0.65267,0.19175,0.26058,0.15402,1.7374,2.64441,2.28159,0.000332516,0.000332516,0.000332516
88,7851.49,0.66233,0.57024,1.05182,0.66442,0.18213,0.27053,0.18598,1.62869,2.55502,2.15206,0.00032744,0.00032744,0.00032744
89,7940.3,0.63712,0.56504,1.03194,0.41209,0.27479,0.27331,0.1899,1.46998,2.54002,1.93678,0.000322365,0.000322365,0.000322365
90,8026.19,0.63213,0.54115,1.05941,0.40278,0.21657,0.25774,0.14838,1.60439,2.8164,2.07106,0.000317289,0.000317289,0.000317289
91,8114.58,0.6329,0.57821,1.05398,0.44462,0.22376,0.22802,0.1274,1.73406,3.03604,2.24586,0.000312214,0.000312214,0.000312214
92,8201.87,0.65933,0.58424,1.04405,0.50269,0.35607,0.33973,0.20601,1.77737,2.96669,2.30303,0.000307139,0.000307139,0.000307139
93,8292.28,0.59224,0.55671,1.0147,0.47458,0.31463,0.3664,0.22486,1.73299,2.54599,2.28256,0.000302063,0.000302063,0.000302063
94,8377.87,0.60161,0.53076,1.0405,0.42217,0.27721,0.33559,0.22323,1.5838,2.51164,2.03635,0.000296988,0.000296988,0.000296988
95,8467.74,0.62505,0.55723,1.0405,0.49368,0.17408,0.23692,0.1436,1.66868,2.97596,2.17655,0.000291912,0.000291912,0.000291912
96,8552.28,0.57043,0.5004,1.01473,0.33962,0.18878,0.20778,0.13548,1.56481,2.7769,2.15911,0.000286837,0.000286837,0.000286837
97,8642.9,0.5708,0.50956,0.98535,0.52487,0.18959,0.24284,0.14139,1.57358,2.66125,2.15051,0.000281762,0.000281762,0.000281762
98,8728.3,0.59194,0.52526,1.04222,0.44919,0.23735,0.25485,0.15016,1.5351,2.88305,2.01651,0.000276686,0.000276686,0.000276686
99,8822.63,0.58126,0.50848,1.00084,0.39093,0.23953,0.33038,0.19932,1.62882,2.83327,2.12395,0.000271611,0.000271611,0.000271611
100,8927,0.58119,0.50757,1.02282,0.39672,0.27721,0.32794,0.20262,1.7733,2.77854,2.19156,0.000266535,0.000266535,0.000266535
101,9032.02,0.57847,0.50266,1.00479,0.55114,0.20598,0.35494,0.21151,1.69806,2.49382,2.15255,0.00026146,0.00026146,0.00026146
102,9129.69,0.59453,0.52722,1.01877,0.51576,0.20309,0.26101,0.13034,1.71851,2.55224,2.1752,0.000256385,0.000256385,0.000256385
103,9223.47,0.55917,0.50154,1.01269,0.37709,0.30447,0.25258,0.14189,1.57549,2.50961,2.04679,0.000251309,0.000251309,0.000251309
104,9323.68,0.54602,0.47172,1.00859,0.42342,0.27721,0.25398,0.15768,1.61548,2.41288,2.16082,0.000246234,0.000246234,0.000246234
105,9421.05,0.5514,0.48555,0.9932,0.57601,0.30251,0.30955,0.17976,1.52848,2.38618,2.01886,0.000241158,0.000241158,0.000241158
106,9515.08,0.5565,0.49592,1.03096,0.46946,0.28707,0.27576,0.18235,1.46328,2.48377,1.90026,0.000236083,0.000236083,0.000236083
107,9614.73,0.53374,0.47794,0.99052,0.35015,0.41661,0.31233,0.21889,1.41321,2.61432,1.78975,0.000231008,0.000231008,0.000231008
108,9716.4,0.54328,0.47847,1.00216,0.51556,0.28231,0.29851,0.23438,1.4518,2.91337,1.83929,0.000225932,0.000225932,0.000225932
109,9815.76,0.54577,0.48329,1.0078,0.31035,0.32591,0.29798,0.23016,1.50774,2.8487,1.86788,0.000220857,0.000220857,0.000220857
110,9925.68,0.53108,0.46937,1.00953,0.50539,0.2602,0.29191,0.19954,1.69212,2.91491,2.13008,0.000215781,0.000215781,0.000215781
111,10023.5,0.51809,0.46288,0.97456,0.5123,0.2601,0.2951,0.20069,1.61895,2.90292,2.03648,0.000210706,0.000210706,0.000210706
112,10118.7,0.53838,0.48969,1.02183,0.49079,0.2558,0.3415,0.22181,1.6206,2.62034,2.1512,0.000205631,0.000205631,0.000205631
113,10226.8,0.52661,0.45321,0.98166,0.63624,0.31964,0.35723,0.24034,1.61388,2.4712,2.19447,0.000200555,0.000200555,0.000200555
114,10330.8,0.56233,0.47824,0.98671,0.27573,0.3598,0.33155,0.21985,1.60223,2.4837,2.19726,0.00019548,0.00019548,0.00019548
115,10425.6,0.52483,0.44212,0.99173,0.37589,0.25921,0.24849,0.15545,1.65364,2.57226,2.25648,0.000190404,0.000190404,0.000190404
116,10527.9,0.49483,0.41528,0.98805,0.359,0.17857,0.18445,0.11241,1.70543,2.90679,2.22651,0.000185329,0.000185329,0.000185329
117,10630.1,0.53462,0.45839,0.99909,0.43102,0.17115,0.1896,0.10553,1.81062,3.2406,2.29914,0.000180254,0.000180254,0.000180254
118,10730.2,0.49995,0.44389,0.98589,0.43632,0.19728,0.21471,0.12042,1.73206,3.13998,2.21429,0.000175178,0.000175178,0.000175178
119,10853.2,0.52477,0.46007,1.00017,0.67898,0.21611,0.22738,0.14182,1.5739,2.87963,2.07932,0.000170103,0.000170103,0.000170103
120,10970.9,0.48718,0.43053,0.97548,0.5563,0.19867,0.2787,0.19464,1.57746,2.7513,2.04965,0.000165027,0.000165027,0.000165027
121,11070,0.47444,0.40914,0.95975,0.36143,0.27272,0.30589,0.21097,1.60692,2.82347,2.10259,0.000159952,0.000159952,0.000159952
122,11168.3,0.47064,0.41467,0.96171,0.4495,0.30102,0.32963,0.23134,1.53972,2.96589,2.02722,0.000154877,0.000154877,0.000154877
123,11274.2,0.46503,0.39753,0.95424,0.49849,0.3002,0.32991,0.22124,1.52827,3.0382,1.97256,0.000149801,0.000149801,0.000149801
124,11378.4,0.45134,0.40292,0.95605,0.47754,0.28695,0.3582,0.2407,1.47865,2.7889,1.94781,0.000144726,0.000144726,0.000144726
125,11484,0.47138,0.40151,0.96455,0.70367,0.25072,0.35015,0.22205,1.46161,2.81022,1.96781,0.00013965,0.00013965,0.00013965
126,11601.2,0.4783,0.41398,0.96659,0.34444,0.3249,0.36144,0.23378,1.55383,2.82637,2.03282,0.000134575,0.000134575,0.000134575
