epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.3698,1.29956,4.32962,1.52119,0.08887,0.15612,0.04837,0.03207,1.18119,3.60511,1.36196,3.845e-05,3.845e-05,3.845e-05
2,126.649,1.33667,3.53746,1.46486,0.5019,0.13095,0.12762,0.08285,1.47342,5.01144,1.56873,8.40317e-05,8.40317e-05,8.40317e-05
3,184.808,1.19078,2.56589,1.36485,0.77662,0.10204,0.08331,0.04328,1.31621,5.30071,1.51398,0.000129004,0.000129004,0.000129004
4,242.217,1.15773,2.14869,1.32989,0.1869,0.14796,0.04729,0.02618,1.58685,4.22165,1.77005,0.000173368,0.000173368,0.000173368
5,300.651,1.21274,2.03077,1.36497,0.08489,0.26065,0.09875,0.05145,1.91818,4.58294,2.28841,0.000217123,0.000217123,0.000217123
6,358.21,1.17878,1.9101,1.34551,0.36595,0.23231,0.12381,0.06957,1.81701,3.70179,2.16767,0.000260268,0.000260268,0.000260268
7,416.99,1.22649,1.8773,1.37926,0.73047,0.07313,0.094,0.05127,2.0311,3.03328,2.34904,0.000302805,0.000302805,0.000302805
8,475.995,1.24082,1.77703,1.33891,0.90255,0.07143,0.12407,0.07562,1.82809,3.94288,2.22955,0.000344732,0.000344732,0.000344732
9,534.896,1.23996,1.76283,1.40127,0.57305,0.2131,0.12209,0.06224,2.01307,3.96455,2.75351,0.00038605,0.00038605,0.00038605
10,593.705,1.13005,1.62577,1.33087,0.26752,0.25476,0.11882,0.05626,1.90277,3.47325,2.54137,0.00042676,0.00042676,0.00042676
11,648.385,1.1043,1.51096,1.28378,0.68713,0.08163,0.11151,0.05449,1.96128,4.17738,2.75355,0.00046686,0.00046686,0.00046686
12,707.568,1.17785,1.54631,1.35318,0.88761,0.08163,0.1117,0.0495,2.06857,4.55378,2.75859,0.000506351,0.000506351,0.000506351
13,767.523,1.15443,1.48828,1.34937,0.17255,0.26837,0.06802,0.03142,1.919,5.63313,2.34369,0.000545233,0.000545233,0.000545233
14,823.003,1.14241,1.49884,1.32488,0.58363,0.07483,0.07627,0.03794,2.16008,5.78871,2.90863,0.000583506,0.000583506,0.000583506
15,882.262,1.19784,1.59084,1.39323,0.56206,0.16904,0.12693,0.05885,1.9931,11.6638,2.99332,0.000621171,0.000621171,0.000621171
16,941.14,1.20778,1.54938,1.37782,0.20983,0.09014,0.08385,0.03802,2.25322,10.585,3.3134,0.000658226,0.000658226,0.000658226
17,996.218,1.17838,1.55776,1.34979,0.61323,0.08163,0.06883,0.03511,1.9582,16.8215,2.84049,0.000687794,0.000687794,0.000687794
18,1054.64,1.18541,1.45254,1.35946,0.31392,0.07653,0.03495,0.01326,2.20737,6.52297,2.98078,0.000682718,0.000682718,0.000682718
19,1113.38,1.21942,1.53255,1.39178,0.08348,0.22959,0.08307,0.03717,2.25587,7.65413,3.21916,0.000677643,0.000677643,0.000677643
20,1168.28,1.21332,1.48027,1.39689,0.07013,0.12682,0.08582,0.04625,2.07387,5.97162,2.83174,0.000672567,0.000672567,0.000672567
21,1228.29,1.21345,1.4662,1.37107,0.06168,0.2119,0.09832,0.05409,1.87,7.44406,2.38177,0.000667492,0.000667492,0.000667492
22,1287.39,1.26442,1.54661,1.41621,0.05896,0.07483,0.04446,0.02294,1.83972,13.9982,2.45797,0.000662417,0.000662417,0.000662417
23,1339.3,1.17269,1.40586,1.34165,0.40518,0.12245,0.0674,0.02759,1.96357,10.2026,2.44323,0.000657341,0.000657341,0.000657341
24,1396.16,1.11396,1.29864,1.31181,0.39563,0.07927,0.08969,0.05218,2.11792,6.84448,2.75802,0.000652266,0.000652266,0.000652266
25,1453.76,1.11474,1.28989,1.34012,0.21081,0.12755,0.0567,0.02846,2.28783,12.6221,3.45104,0.00064719,0.00064719,0.00064719
26,1512.07,1.1281,1.25367,1.3033,0.45386,0.06973,0.09434,0.04398,2.01524,6.65867,2.79725,0.000642115,0.000642115,0.000642115
27,1571.61,1.13086,1.24524,1.30487,0.52097,0.15136,0.11525,0.04799,1.92472,8.30493,2.6609,0.00063704,0.00063704,0.00063704
28,1630.65,1.12272,1.23838,1.33441,0.07517,0.23164,0.12199,0.04815,2.08609,6.92641,2.78202,0.000631964,0.000631964,0.000631964
29,1686.55,1.07476,1.2381,1.26287,0.50494,0.09568,0.16234,0.05017,2.02511,6.14653,2.5574,0.000626889,0.000626889,0.000626889
30,1745.99,1.03758,1.13863,1.23703,0.31691,0.15476,0.04704,0.02482,2.05454,5.4975,2.56841,0.000621813,0.000621813,0.000621813
31,1805.56,1.05051,1.16737,1.26118,0.23467,0.17177,0.10545,0.04516,2.00759,5.35156,2.67293,0.000616738,0.000616738,0.000616738
32,1860.94,1.05396,1.21838,1.27197,0.25127,0.15476,0.112,0.06966,1.85874,4.50849,2.37338,0.000611663,0.000611663,0.000611663
33,1920.09,1.05341,1.19064,1.32738,0.24809,0.19694,0.10743,0.0543,1.99409,4.36432,2.52432,0.000606587,0.000606587,0.000606587
34,1978.68,1.04566,1.14476,1.27851,0.46482,0.14966,0.1286,0.08331,1.93175,3.48728,2.55159,0.000601512,0.000601512,0.000601512
35,2034.66,1.02828,1.11664,1.27152,0.32776,0.17347,0.15879,0.08344,1.95432,3.3321,2.52926,0.000596436,0.000596436,0.000596436
36,2094.6,1.00818,1.04113,1.26575,0.50312,0.2135,0.17758,0.08823,1.81662,3.70572,2.36492,0.000591361,0.000591361,0.000591361
37,2154.14,0.98016,1.05,1.24274,0.75207,0.21345,0.32567,0.19117,1.65706,3.2257,2.17399,0.000586286,0.000586286,0.000586286
38,2208.95,1.00334,1.06881,1.25391,0.44084,0.31367,0.3337,0.19361,1.68787,3.03265,2.23267,0.00058121,0.00058121,0.00058121
39,2270.01,0.94014,1.00833,1.21664,0.24201,0.23095,0.20501,0.10309,1.91817,3.06199,2.38464,0.000576135,0.000576135,0.000576135
40,2327.9,0.96123,0.98803,1.23427,0.441,0.21905,0.22697,0.12968,1.82691,3.14762,2.23581,0.000571059,0.000571059,0.000571059
41,2381.18,0.94435,0.95622,1.20732,0.4182,0.22109,0.24203,0.12661,1.82741,3.71903,2.26345,0.000565984,0.000565984,0.000565984
42,2441.81,0.89012,0.92511,1.16825,0.3067,0.25,0.20279,0.11602,1.70885,3.2745,2.21156,0.000560909,0.000560909,0.000560909
43,2502.11,0.91682,0.87598,1.18946,0.14204,0.20714,0.14682,0.07927,1.90509,3.14286,2.3913,0.000555833,0.000555833,0.000555833
44,2562.35,0.93177,0.97219,1.21153,0.34323,0.22013,0.16913,0.09657,1.72078,2.95863,2.13847,0.000550758,0.000550758,0.000550758
45,2624.54,0.90575,0.93436,1.16941,0.31505,0.30024,0.19632,0.10725,1.70653,2.70156,2.21414,0.000545682,0.000545682,0.000545682
46,2684.19,0.92978,0.91036,1.17809,0.20093,0.32213,0.22432,0.12594,1.75076,2.62288,2.23467,0.000540607,0.000540607,0.000540607
47,2744.06,0.87346,0.85645,1.16614,0.56672,0.22925,0.28526,0.1769,1.73428,2.93783,2.25746,0.000535532,0.000535532,0.000535532
48,2799.82,0.87283,0.85694,1.14915,0.31284,0.1966,0.22482,0.12728,1.80311,2.73801,2.25159,0.000530456,0.000530456,0.000530456
49,2859.14,0.84742,0.87011,1.16773,0.18608,0.28639,0.19916,0.12207,1.80283,3.02581,2.12677,0.000525381,0.000525381,0.000525381
50,2918.31,0.84707,0.82967,1.14361,0.46026,0.20764,0.24769,0.1342,1.84101,2.99109,2.23974,0.000520305,0.000520305,0.000520305
51,2972.42,0.8652,0.84188,1.15846,0.75984,0.21065,0.25363,0.13081,1.88918,2.91037,2.26875,0.00051523,0.00051523,0.00051523
52,3030.73,0.85082,0.79194,1.14144,0.70177,0.15058,0.167,0.10166,2.08454,3.15218,2.38284,0.000510155,0.000510155,0.000510155
53,3088.98,0.84748,0.80449,1.14179,0.71879,0.22449,0.26186,0.15919,1.80161,3.00361,2.1287,0.000505079,0.000505079,0.000505079
54,3143.71,0.87234,0.79948,1.14788,0.41637,0.22449,0.27416,0.18669,1.72015,2.94402,2.10982,0.000500004,0.000500004,0.000500004
55,3200.73,0.85923,0.75947,1.15312,0.62059,0.23861,0.30495,0.18715,1.97953,2.76921,2.43671,0.000494928,0.000494928,0.000494928
56,3259.59,0.8177,0.76762,1.13986,0.22006,0.20748,0.2103,0.13008,1.82336,2.69182,2.30165,0.000489853,0.000489853,0.000489853
57,3317.86,0.82451,0.76563,1.11501,0.46953,0.22949,0.27041,0.15244,1.84641,2.65258,2.24156,0.000484778,0.000484778,0.000484778
58,3375.79,0.83591,0.74483,1.13117,0.44442,0.23095,0.24435,0.16647,1.67153,2.55942,2.08404,0.000479702,0.000479702,0.000479702
59,3433.6,0.8227,0.74187,1.12017,0.25789,0.26568,0.23669,0.15535,1.62821,2.56652,2.05826,0.000474627,0.000474627,0.000474627
