epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.948,1.44053,3.26058,1.55021,0.65617,0.12131,0.0778,0.03688,1.65046,2.85432,1.95166,0.000254085,0.000254085,0.000254085
2,106.38,1.37288,2.13875,1.47998,0.2772,0.14325,0.08865,0.04337,1.62476,2.77546,1.86921,0.000507049,0.000507049,0.000507049
3,148.125,1.32447,1.80032,1.44386,0.36477,0.17841,0.1082,0.05226,1.67974,3.31789,1.93053,0.00075663,0.00075663,0.00075663
4,189.543,1.32685,1.61226,1.4468,0.55455,0.17678,0.17801,0.09647,1.6449,2.32072,1.86469,0.000753774,0.000753774,0.000753774
5,230.837,1.26102,1.39711,1.39692,0.39349,0.17564,0.1911,0.10091,1.69521,2.52164,1.9981,0.000748698,0.000748698,0.000748698
6,272.437,1.22187,1.25693,1.3629,0.36532,0.28577,0.1908,0.10104,1.72106,2.62376,2.08908,0.000743623,0.000743623,0.000743623
7,315.236,1.15826,1.11976,1.32898,0.52451,0.20718,0.20419,0.11544,1.86465,2.43219,2.00786,0.000738548,0.000738548,0.000738548
8,356.869,1.15463,1.07408,1.31734,0.31614,0.17333,0.12231,0.06605,1.80818,2.78717,2.02736,0.000733472,0.000733472,0.000733472
9,398.644,1.12392,1.00148,1.28941,0.65499,0.1823,0.21127,0.11903,1.68115,2.36848,1.90384,0.000728397,0.000728397,0.000728397
10,440.389,1.09441,0.95099,1.27316,0.61957,0.19723,0.22801,0.13735,1.5849,2.03688,1.71367,0.000723321,0.000723321,0.000723321
11,481.818,1.0729,0.90559,1.25183,0.68383,0.2619,0.27749,0.16624,1.59907,2.23827,1.86176,0.000718246,0.000718246,0.000718246
12,523.003,1.05689,0.88027,1.2528,0.64512,0.19748,0.20975,0.12334,1.79043,2.242,1.99684,0.000713171,0.000713171,0.000713171
13,564.454,1.04857,0.86118,1.24687,0.62159,0.21857,0.24521,0.14681,1.50881,2.46225,1.68969,0.000708095,0.000708095,0.000708095
14,606.505,1.02284,0.81913,1.22321,0.39885,0.22867,0.20018,0.12224,1.51097,2.26121,1.7139,0.00070302,0.00070302,0.00070302
15,648.26,1.00177,0.79629,1.20775,0.63688,0.24202,0.22299,0.12834,1.77536,2.44638,2.02024,0.000697944,0.000697944,0.000697944
16,689.479,0.9823,0.77378,1.20459,0.61906,0.2177,0.22164,0.12476,1.68268,2.21976,1.98958,0.000692869,0.000692869,0.000692869
17,730.559,0.97572,0.75933,1.19767,0.54523,0.17681,0.20461,0.11566,1.65967,2.38646,1.9158,0.000687794,0.000687794,0.000687794
18,771.608,0.97286,0.74635,1.18856,0.6261,0.16214,0.19224,0.11137,1.79413,2.71024,2.00577,0.000682718,0.000682718,0.000682718
19,812.998,0.95024,0.71958,1.17215,0.46091,0.27405,0.25045,0.15319,1.54396,2.24561,1.80146,0.000677643,0.000677643,0.000677643
20,854.279,0.93584,0.71,1.17058,0.63885,0.19399,0.26018,0.15651,1.5717,2.01747,1.8075,0.000672567,0.000672567,0.000672567
21,895.818,0.92653,0.69397,1.16152,0.56864,0.20674,0.22737,0.1256,1.76289,2.45238,2.11717,0.000667492,0.000667492,0.000667492
22,937.343,0.90982,0.68713,1.1532,0.47679,0.20224,0.22738,0.13502,1.62354,2.18822,1.89073,0.000662417,0.000662417,0.000662417
23,978.744,0.90542,0.67215,1.14923,0.62302,0.19325,0.2416,0.14821,1.57298,2.30527,1.79993,0.000657341,0.000657341,0.000657341
24,1020.08,0.90145,0.67194,1.1497,0.46634,0.17299,0.22108,0.12891,1.69672,2.60193,2.02013,0.000652266,0.000652266,0.000652266
25,1061.26,0.8852,0.65566,1.14089,0.44117,0.2348,0.25088,0.13713,1.89235,2.29511,2.20102,0.00064719,0.00064719,0.00064719
26,1102.6,0.87938,0.64261,1.13507,0.29507,0.18224,0.20558,0.12457,1.58954,2.614,1.92432,0.000642115,0.000642115,0.000642115
27,1143.87,0.87268,0.63441,1.12699,0.57867,0.182,0.20946,0.12049,1.69474,2.24313,1.8855,0.00063704,0.00063704,0.00063704
28,1185.12,0.86155,0.62336,1.12218,0.62437,0.18753,0.22009,0.13435,1.69718,2.21521,1.93097,0.000631964,0.000631964,0.000631964
29,1226.09,0.85905,0.61932,1.12159,0.4426,0.20451,0.21813,0.13727,1.65617,2.60717,1.97435,0.000626889,0.000626889,0.000626889
30,1267.28,0.84453,0.61225,1.11554,0.39181,0.20286,0.2095,0.12955,1.68402,2.41586,2.03428,0.000621813,0.000621813,0.000621813
