epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1372,1.31219,3.93447,1.44842,0.00817,0.33333,0.11044,0.09987,1.1567,3.66452,1.28698,3.845e-05,3.845e-05,3.845e-05
2,13.3489,1.35833,4.03971,1.41256,0.01261,0.33333,0.0365,0.03135,1.1152,3.65137,1.26898,8.40317e-05,8.40317e-05,8.40317e-05
3,16.4397,1.20334,3.83502,1.33838,0.04167,0.42857,0.06428,0.0412,1.05739,3.6342,1.23919,0.000129004,0.000129004,0.000129004
4,19.4673,1.21985,3.66098,1.33053,0.01737,0.45748,0.07562,0.05669,1.08287,3.58735,1.23503,0.000173368,0.000173368,0.000173368
5,22.6283,1.29694,3.4292,1.39071,0.01049,0.43878,0.08469,0.05797,1.18759,3.4876,1.35884,0.000217123,0.000217123,0.000217123
6,25.7603,1.25882,3.16883,1.36118,0.00761,0.46769,0.16195,0.11589,1.19604,3.46991,1.41878,0.000260268,0.000260268,0.000260268
7,28.9855,1.25925,2.91811,1.3719,0.00804,0.43367,0.12661,0.10413,1.34682,3.43843,1.52669,0.000302805,0.000302805,0.000302805
8,32.093,1.2603,2.65069,1.31818,0.01555,0.49626,0.10424,0.0757,1.4704,3.4077,1.58601,0.000344732,0.000344732,0.000344732
9,34.8498,1.23989,2.54602,1.36138,0.93739,0.01531,0.12405,0.0692,1.5756,3.31127,1.68589,0.00038605,0.00038605,0.00038605
10,37.7981,1.17822,2.43576,1.32321,0.96916,0.03571,0.16809,0.09076,1.41635,3.15281,1.54714,0.00042676,0.00042676,0.00042676
11,40.5941,1.15455,2.30687,1.29297,0.92743,0.06973,0.14026,0.08612,1.36971,3.05311,1.52757,0.00046686,0.00046686,0.00046686
12,43.4213,1.20825,2.30163,1.3257,0.80157,0.04082,0.13694,0.08026,1.35622,3.07683,1.54879,0.000506351,0.000506351,0.000506351
13,46.2616,1.18707,2.30103,1.30048,0.77412,0.04082,0.11294,0.06533,1.41749,3.14952,1.61265,0.000545233,0.000545233,0.000545233
14,49.1279,1.17132,2.15591,1.27809,0.76894,0.04082,0.1331,0.09263,1.435,3.16047,1.64138,0.000583506,0.000583506,0.000583506
15,51.8819,1.14421,2.15689,1.31107,0.56615,0.07483,0.14848,0.0885,1.53789,2.99671,1.79977,0.000621171,0.000621171,0.000621171
16,54.3969,1.21675,2.14176,1.31716,0.57225,0.07483,0.11112,0.07457,1.53608,3.00387,1.7379,0.000658226,0.000658226,0.000658226
17,56.9079,1.1484,2.0778,1.25757,0.57005,0.09864,0.12488,0.08292,1.57703,3.15767,1.75498,0.000687794,0.000687794,0.000687794
18,59.634,1.16026,2.03601,1.26474,0.4818,0.12721,0.13506,0.09455,1.56957,3.00128,1.85083,0.000682718,0.000682718,0.000682718
19,62.1301,1.14924,1.94515,1.28866,0.42619,0.13685,0.13673,0.08452,1.62712,3.0051,1.89602,0.000677643,0.000677643,0.000677643
20,64.6061,1.14489,1.9545,1.31312,0.94487,0.10714,0.15264,0.11139,1.55301,3.00945,1.75465,0.000672567,0.000672567,0.000672567
21,67.1012,1.12773,1.88706,1.26974,0.89209,0.11735,0.14428,0.10235,1.46224,2.89747,1.69262,0.000667492,0.000667492,0.000667492
22,69.6423,1.1353,1.95664,1.29211,0.32639,0.17993,0.17424,0.108,1.71354,2.90641,1.89939,0.000662417,0.000662417,0.000662417
23,72.2538,1.12158,1.83323,1.26514,0.242,0.14493,0.15064,0.09676,1.62582,2.72261,1.90134,0.000657341,0.000657341,0.000657341
24,74.8861,1.01011,1.67054,1.19916,0.38389,0.12415,0.10326,0.06543,1.52171,2.7175,1.78579,0.000652266,0.000652266,0.000652266
25,77.3913,1.04344,1.70485,1.23365,0.52093,0.12585,0.08499,0.05212,1.50226,2.83955,1.71133,0.00064719,0.00064719,0.00064719
26,79.9216,1.08029,1.71586,1.24731,0.78528,0.03061,0.05501,0.02961,1.57079,3.03605,1.73856,0.000642115,0.000642115,0.000642115
27,82.5142,1.07192,1.65422,1.20514,0.7834,0.03571,0.04929,0.0309,1.46969,2.97549,1.61808,0.00063704,0.00063704,0.00063704
28,84.9888,1.08622,1.61938,1.2334,0.60643,0.15127,0.18022,0.08859,1.60113,2.96828,1.72072,0.000631964,0.000631964,0.000631964
29,87.7002,1.08695,1.6851,1.22853,0.43564,0.19686,0.15471,0.09311,1.45744,2.8604,1.58887,0.000626889,0.000626889,0.000626889
30,90.1643,1.0314,1.52746,1.18887,0.51739,0.21599,0.18899,0.12342,1.45791,2.71873,1.5951,0.000621813,0.000621813,0.000621813
31,92.8904,1.01907,1.50279,1.19847,0.39045,0.20238,0.16782,0.09955,1.62156,2.77872,1.78861,0.000616738,0.000616738,0.000616738
32,95.4141,1.02691,1.56624,1.20122,0.63749,0.10034,0.14961,0.09264,1.56386,2.85791,1.72168,0.000611663,0.000611663,0.000611663
33,97.8864,0.99622,1.51226,1.20454,0.1548,0.17198,0.12351,0.07929,1.62725,3.11275,1.87209,0.000606587,0.000606587,0.000606587
34,100.418,0.99271,1.49708,1.18961,0.14577,0.17279,0.10142,0.06882,1.58231,3.23952,1.88162,0.000601512,0.000601512,0.000601512
35,102.964,1.01503,1.40776,1.19508,0.18675,0.10714,0.09553,0.05129,1.55211,3.15521,1.81755,0.000596436,0.000596436,0.000596436
36,105.552,0.96142,1.38392,1.16353,0.25645,0.11327,0.12952,0.0619,1.58737,2.99097,1.75927,0.000591361,0.000591361,0.000591361
37,108.103,0.96527,1.38276,1.16061,0.70448,0.11327,0.17815,0.09718,1.50936,2.79352,1.67828,0.000586286,0.000586286,0.000586286
38,110.743,1.01756,1.35186,1.1979,0.43473,0.23518,0.25289,0.15704,1.50789,2.53593,1.66899,0.00058121,0.00058121,0.00058121
39,113.251,0.96845,1.34765,1.16555,0.23618,0.23571,0.21316,0.12126,1.53156,2.49354,1.75478,0.000576135,0.000576135,0.000576135
