epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.588,1.42904,4.95011,1.56234,0.29277,0.10714,0.08461,0.06513,1.3978,5.13971,1.507,3.845e-05,3.845e-05,3.845e-05
2,113.63,1.49615,4.55025,1.56131,0.06694,0.36565,0.14043,0.11224,1.35485,6.31922,1.51282,8.40317e-05,8.40317e-05,8.40317e-05
3,118.783,1.23458,3.24028,1.41693,0.26572,0.06463,0.06664,0.03356,1.39589,10.9561,1.57292,0.000129004,0.000129004,0.000129004
4,123.922,1.14938,2.63225,1.34918,0.65995,0.12534,0.11813,0.06678,1.4211,7.0542,1.53906,0.000173368,0.000173368,0.000173368
5,129.936,1.16525,2.32881,1.38191,0.87385,0.08503,0.10161,0.05614,1.48047,5.91751,1.64504,0.000217123,0.000217123,0.000217123
6,135.977,1.09142,2.09743,1.30027,0.07146,0.15815,0.10602,0.05944,1.44684,5.45329,1.65171,0.000260268,0.000260268,0.000260268
7,141.897,1.15974,1.91672,1.31818,0.4461,0.2432,0.21447,0.13054,1.53553,3.85746,1.72994,0.000302805,0.000302805,0.000302805
8,147.777,1.14911,1.74742,1.25998,0.49006,0.31122,0.25311,0.14189,1.45986,3.58318,1.67248,0.000344732,0.000344732,0.000344732
9,153.462,1.15146,1.76584,1.31229,0.26254,0.23469,0.20944,0.14853,1.38211,3.42002,1.71079,0.00038605,0.00038605,0.00038605
10,160.018,1.0684,1.55953,1.26885,0.54397,0.13265,0.0783,0.04874,1.38385,3.16198,1.60378,0.00042676,0.00042676,0.00042676
11,165.681,1.0194,1.46025,1.19328,0.80859,0.10215,0.08441,0.04258,1.4992,3.11405,1.68546,0.00046686,0.00046686,0.00046686
12,170.606,1.07199,1.42697,1.25307,0.41941,0.11346,0.10252,0.04599,1.605,3.41897,1.74927,0.000506351,0.000506351,0.000506351
13,176.815,1.09681,1.38035,1.26271,0.76557,0.06937,0.10643,0.05437,1.66047,3.3312,1.913,0.000545233,0.000545233,0.000545233
14,182.084,1.08227,1.33002,1.25134,0.22928,0.16053,0.09257,0.03506,1.68906,2.88868,1.9632,0.000583506,0.000583506,0.000583506
15,188,1.10592,1.35558,1.30046,0.42755,0.22616,0.11133,0.06882,1.60256,3.20268,1.93455,0.000621171,0.000621171,0.000621171
16,193.678,1.1303,1.34185,1.2723,0.07916,0.12415,0.07497,0.03909,1.74913,3.50097,2.23916,0.000658226,0.000658226,0.000658226
17,199.284,1.10297,1.40074,1.25248,0.36123,0.08503,0.06477,0.03127,1.74324,4.20388,2.15686,0.000687794,0.000687794,0.000687794
18,204.551,1.13123,1.36234,1.27616,0.21,0.12075,0.05341,0.02141,1.81111,4.17278,2.38769,0.000682718,0.000682718,0.000682718
19,210.109,1.11299,1.26514,1.29033,0.91311,0.02551,0.0424,0.01917,1.67745,4.05664,2.08657,0.000677643,0.000677643,0.000677643
20,216.151,1.08592,1.32225,1.27974,0.18357,0.20004,0.07971,0.03194,1.73546,3.68631,2.08842,0.000672567,0.000672567,0.000672567
21,221.313,1.06576,1.2566,1.24374,0.42122,0.14097,0.06791,0.02615,1.83842,4.04307,2.30653,0.000667492,0.000667492,0.000667492
22,226.599,1.13331,1.37749,1.3005,0.1621,0.2478,0.14692,0.07517,1.76243,3.97712,2.28707,0.000662417,0.000662417,0.000662417
23,231.329,1.04836,1.2298,1.2299,0.2855,0.19864,0.152,0.06351,1.69364,3.87772,2.08677,0.000657341,0.000657341,0.000657341
24,236.3,0.99202,1.12556,1.21409,0.67137,0.12722,0.15038,0.10191,1.73003,2.77047,1.92491,0.000652266,0.000652266,0.000652266
25,242.056,0.99062,1.12664,1.21444,0.58725,0.15816,0.12622,0.07171,1.75343,2.93566,1.99989,0.00064719,0.00064719,0.00064719
26,247.134,0.98916,1.05889,1.18516,0.89689,0.06463,0.11783,0.05828,1.6511,2.63522,2.00844,0.000642115,0.000642115,0.000642115
27,252.88,0.98081,1.03454,1.16614,0.65418,0.10034,0.16302,0.09301,1.71348,3.1577,2.2822,0.00063704,0.00063704,0.00063704
28,259.28,1.0031,1.11442,1.20095,0.1996,0.29364,0.21504,0.13381,1.75527,2.60866,2.30943,0.000631964,0.000631964,0.000631964
29,264.924,0.96687,1.057,1.17309,0.12048,0.20283,0.10514,0.04908,1.7809,3.01417,2.13067,0.000626889,0.000626889,0.000626889
30,271.034,0.95449,1.00298,1.15845,0.47589,0.14456,0.18352,0.08657,1.71862,3.06591,2.06772,0.000621813,0.000621813,0.000621813
31,276.618,0.9685,1.02653,1.17725,0.52423,0.12925,0.0996,0.05485,1.7109,3.42728,2.09178,0.000616738,0.000616738,0.000616738
32,282.985,1.00126,1.04561,1.21336,0.66756,0.08333,0.0775,0.04581,1.63468,4.16647,1.95418,0.000611663,0.000611663,0.000611663
33,288.574,0.91018,0.9547,1.17521,0.38534,0.16122,0.12134,0.08136,1.62612,3.65284,2.02011,0.000606587,0.000606587,0.000606587
34,294.184,0.92955,0.95468,1.15547,0.86978,0.08584,0.0943,0.0581,1.68486,3.35979,1.98357,0.000601512,0.000601512,0.000601512
35,300.128,0.93413,0.94669,1.16833,0.29484,0.24456,0.1337,0.07755,1.74909,3.39199,1.92586,0.000596436,0.000596436,0.000596436
36,306.063,0.89846,0.90039,1.13795,0.47506,0.16122,0.12331,0.0605,1.66918,2.93048,1.93762,0.000591361,0.000591361,0.000591361
37,311.675,0.89033,0.90535,1.1431,0.46241,0.14252,0.13253,0.06842,1.72089,3.25021,1.93781,0.000586286,0.000586286,0.000586286
38,317.36,0.95117,0.90648,1.17576,0.55975,0.10884,0.11333,0.05992,1.76654,2.88003,2.07186,0.00058121,0.00058121,0.00058121
39,322.572,0.89429,0.88983,1.12491,0.65276,0.19388,0.21418,0.11651,1.8698,3.41811,2.0134,0.000576135,0.000576135,0.000576135
40,328.509,0.9218,0.89377,1.16045,0.73282,0.11224,0.1636,0.11405,1.85492,3.01035,2.10173,0.000571059,0.000571059,0.000571059
41,333.843,0.88808,0.84215,1.13654,0.43298,0.22201,0.22296,0.11696,1.72738,3.1917,1.96768,0.000565984,0.000565984,0.000565984
42,340.173,0.87702,0.83154,1.10907,0.26047,0.3094,0.21399,0.13087,1.63576,2.81348,1.95003,0.000560909,0.000560909,0.000560909
43,345.744,0.88875,0.83512,1.11167,0.28442,0.20422,0.14065,0.06933,1.73801,2.81558,1.97934,0.000555833,0.000555833,0.000555833
44,351.156,0.84552,0.83406,1.12652,0.61306,0.11942,0.13575,0.07287,1.57698,3.06211,1.864,0.000550758,0.000550758,0.000550758
45,355.929,0.86232,0.81271,1.10221,0.41297,0.07483,0.09634,0.0624,1.70735,3.03568,1.96534,0.000545682,0.000545682,0.000545682
46,361.523,0.87164,0.81179,1.10233,0.24346,0.19218,0.12671,0.07293,1.63419,3.03513,2.00959,0.000540607,0.000540607,0.000540607
47,366.219,0.83038,0.78204,1.09329,0.11596,0.14966,0.15072,0.09502,1.58029,2.7441,1.87961,0.000535532,0.000535532,0.000535532
48,371.271,0.81224,0.78299,1.08165,0.16999,0.18629,0.16369,0.11323,1.62465,2.60122,1.96082,0.000530456,0.000530456,0.000530456
49,375.81,0.78612,0.75156,1.09933,0.7784,0.15646,0.1684,0.10896,1.54777,2.5324,1.86888,0.000525381,0.000525381,0.000525381
50,380.421,0.77396,0.74941,1.04884,0.52219,0.20748,0.17012,0.10807,1.52027,2.62341,1.79809,0.000520305,0.000520305,0.000520305
51,384.605,0.79866,0.76182,1.08116,0.51903,0.22109,0.21067,0.13884,1.50664,2.49298,1.75678,0.00051523,0.00051523,0.00051523
52,390.047,0.79053,0.73422,1.07132,0.53754,0.19644,0.1745,0.10183,1.59024,2.48851,1.80628,0.000510155,0.000510155,0.000510155
53,394.59,0.76798,0.70997,1.06607,0.30792,0.23639,0.18812,0.11974,1.62269,2.76513,1.86311,0.000505079,0.000505079,0.000505079
54,400.199,0.79476,0.74261,1.05609,0.65307,0.19218,0.18332,0.12448,1.56866,2.71709,1.82827,0.000500004,0.000500004,0.000500004
55,405.183,0.80534,0.73227,1.09269,0.13776,0.32279,0.1591,0.10822,1.69519,2.58052,1.9615,0.000494928,0.000494928,0.000494928
56,410.646,0.74723,0.71924,1.07311,0.46845,0.21259,0.23115,0.13951,1.50574,2.4832,1.82374,0.000489853,0.000489853,0.000489853
57,415.081,0.78334,0.71282,1.06592,0.20611,0.27857,0.22266,0.15207,1.62188,2.6262,1.96549,0.000484778,0.000484778,0.000484778
58,420.59,0.78302,0.70265,1.06207,0.17714,0.22501,0.19199,0.13226,1.6214,2.98197,1.9953,0.000479702,0.000479702,0.000479702
59,425.7,0.77314,0.69995,1.05434,0.15367,0.21538,0.20125,0.1313,1.61537,2.9242,2.00955,0.000474627,0.000474627,0.000474627
60,430.932,0.76324,0.68253,1.03711,0.30185,0.2398,0.17528,0.09621,1.61372,2.94232,1.99613,0.000469551,0.000469551,0.000469551
61,436.153,0.73238,0.67843,1.04524,0.44139,0.21939,0.18326,0.11075,1.44512,2.74434,1.83832,0.000464476,0.000464476,0.000464476
62,441.922,0.74923,0.67886,1.0476,0.84824,0.18198,0.23871,0.13532,1.37018,2.59655,1.74715,0.000459401,0.000459401,0.000459401
63,446.66,0.70987,0.63387,1.0215,0.3847,0.19388,0.21428,0.14565,1.51508,2.71821,1.81062,0.000454325,0.000454325,0.000454325
64,451.532,0.75859,0.67227,1.04379,0.2108,0.25819,0.23089,0.15344,1.50161,2.71415,1.77221,0.00044925,0.00044925,0.00044925
65,456.791,0.72963,0.65254,1.052,0.2834,0.19787,0.25203,0.1543,1.4388,2.6651,1.73493,0.000444174,0.000444174,0.000444174
66,461.513,0.73919,0.67583,1.03319,0.25799,0.29218,0.23561,0.12039,1.45816,2.76253,1.87209,0.000439099,0.000439099,0.000439099
67,467.067,0.71074,0.65951,1.04274,0.36151,0.22279,0.26014,0.16551,1.4836,2.74963,1.81099,0.000434024,0.000434024,0.000434024
68,472.502,0.70079,0.61947,1.02591,0.60079,0.18673,0.25059,0.17016,1.47303,2.70691,1.79644,0.000428948,0.000428948,0.000428948
69,477.431,0.69782,0.63673,1.02699,0.68338,0.19184,0.26541,0.18107,1.41006,2.53969,1.73673,0.000423873,0.000423873,0.000423873
70,482.17,0.67773,0.5953,1.00046,0.3796,0.25229,0.26543,0.17683,1.42824,2.46396,1.72251,0.000418797,0.000418797,0.000418797
71,486.766,0.68817,0.6196,1.01112,0.35854,0.22872,0.25304,0.17103,1.42229,2.53097,1.73997,0.000413722,0.000413722,0.000413722
72,492.063,0.7223,0.61691,1.02427,0.56662,0.20238,0.26053,0.17447,1.44834,2.6706,1.85953,0.000408647,0.000408647,0.000408647
73,497.064,0.66997,0.58603,0.99962,0.4492,0.22109,0.23245,0.14748,1.5086,2.72751,1.87341,0.000403571,0.000403571,0.000403571
74,501.198,0.63801,0.56897,1.01571,0.69744,0.18494,0.24239,0.15769,1.5877,2.7856,1.89447,0.000398496,0.000398496,0.000398496
75,505.971,0.6558,0.59504,0.99569,0.34489,0.25333,0.2059,0.11797,1.65107,2.93686,1.90796,0.00039342,0.00039342,0.00039342
76,510.627,0.67372,0.57607,0.99405,0.52473,0.2619,0.2117,0.1339,1.74326,3.02316,2.0374,0.000388345,0.000388345,0.000388345
77,515.802,0.66096,0.56412,1.00908,0.72707,0.14456,0.19373,0.10949,1.65014,3.20802,1.94227,0.00038327,0.00038327,0.00038327
78,521.951,0.6333,0.55089,0.99385,0.75093,0.13277,0.1794,0.10774,1.53758,3.31984,1.86358,0.000378194,0.000378194,0.000378194
79,527.452,0.63393,0.54988,1.00125,0.31432,0.22789,0.15564,0.09692,1.54516,3.36763,1.82278,0.000373119,0.000373119,0.000373119
